name,energy,flux
Ni01,52.150000000000006,3.3333333333333335e-07
Ni01,52.25,1e-06
Ni01,52.35000000000001,1e-06
Ni01,52.45,3e-06
Ni01,52.55,6.666666666666667e-06
Ni01,52.650000000000006,1.7e-05
Ni01,52.75,3.566666666666667e-05
Ni01,52.85000000000001,7.133333333333334e-05
Ni01,52.95,0.00014066666666666668
Ni01,53.05,0.0002716666666666667
Ni01,53.150000000000006,0.0004966666666666666
Ni01,53.25,0.0008396666666666666
Ni01,53.35000000000001,0.0013736666666666667
Ni01,53.45,0.0022313333333333334
Ni01,53.55,0.0035613333333333335
Ni01,53.650000000000006,0.005509
Ni01,53.75,0.008133
Ni01,53.85000000000001,0.011618333333333333
Ni01,53.95,0.016092
Ni01,54.05,0.021747666666666665
Ni01,54.150000000000006,0.028270666666666666
Ni01,54.25,0.035389
Ni01,54.35000000000001,0.042978666666666665
Ni01,54.45,0.05075333333333333
Ni01,54.55,0.05808233333333333
Ni01,54.650000000000006,0.06437933333333333
Ni01,54.75,0.06892966666666667
Ni01,54.85000000000001,0.07148066666666666
Ni01,54.95,0.07169433333333333
Ni01,55.05,0.06965166666666667
Ni01,55.150000000000006,0.06549466666666667
Ni01,55.25,0.059380666666666665
Ni01,55.35000000000001,0.05229533333333333
Ni01,55.45,0.044625333333333336
Ni01,55.55,0.03705233333333333
Ni01,55.650000000000006,0.029575666666666667
Ni01,55.75,0.022979
Ni01,55.85000000000001,0.017308
Ni01,55.95,0.012598333333333333
Ni01,56.05,0.008774666666666667
Ni01,56.150000000000006,0.005968
Ni01,56.25,0.0039566666666666665
Ni01,56.35000000000001,0.0025666666666666667
Ni01,56.45,0.0016033333333333333
Ni01,56.55,0.0009216666666666667
Ni01,56.650000000000006,0.0005246666666666667
Ni01,56.75,0.0002883333333333333
Ni01,56.85000000000001,0.000154
Ni01,56.95,8.366666666666666e-05
Ni01,57.05,4.266666666666667e-05
Ni01,57.150000000000006,2.6e-05
Ni01,57.25,1.1e-05
Ni01,57.35000000000001,4.666666666666666e-06
Ni01,57.45,2.333333333333333e-06
Ni01,57.55,1.6666666666666667e-06
Sn01,51.85000000000001,3.3333333333333335e-07
Sn01,51.95,3.3333333333333335e-07
Sn01,52.05,3.3333333333333335e-07
Sn01,52.150000000000006,1.6666666666666667e-06
Sn01,52.25,4.333333333333333e-06
Sn01,52.35000000000001,8.333333333333334e-06
Sn01,52.45,2.1666666666666667e-05
Sn01,52.55,4.0333333333333336e-05
Sn01,52.650000000000006,8.966666666666667e-05
Sn01,52.75,0.00016233333333333334
Sn01,52.85000000000001,0.000327
Sn01,52.95,0.000553
Sn01,53.05,0.000928
Sn01,53.150000000000006,0.001544
Sn01,53.25,0.0024896666666666665
Sn01,53.35000000000001,0.0038683333333333334
Sn01,53.45,0.005899333333333334
Sn01,53.55,0.008693
Sn01,53.650000000000006,0.012284333333333333
Sn01,53.75,0.016884666666666666
Sn01,53.85000000000001,0.022504333333333335
Sn01,53.95,0.028990333333333333
Sn01,54.05,0.036262666666666665
Sn01,54.150000000000006,0.043677
Sn01,54.25,0.051214333333333334
Sn01,54.35000000000001,0.058410666666666666
Sn01,54.45,0.06429133333333334
Sn01,54.55,0.06868266666666667
Sn01,54.650000000000006,0.07081466666666666
Sn01,54.75,0.07094266666666667
Sn01,54.85000000000001,0.06880133333333334
Sn01,54.95,0.06442033333333333
Sn01,55.05,0.05857233333333333
Sn01,55.150000000000006,0.051574
Sn01,55.25,0.043964666666666666
Sn01,55.35000000000001,0.036364
Sn01,55.45,0.02925933333333333
Sn01,55.55,0.022799666666666666
Sn01,55.650000000000006,0.017070333333333333
Sn01,55.75,0.012497
Sn01,55.85000000000001,0.00876
Sn01,55.95,0.006013333333333333
Sn01,56.05,0.003975
Sn01,56.150000000000006,0.0025896666666666668
Sn01,56.25,0.0016076666666666667
Sn01,56.35000000000001,0.0009546666666666667
Sn01,56.45,0.0005496666666666666
Sn01,56.55,0.000297
Sn01,56.650000000000006,0.000155
Sn01,56.75,8.866666666666666e-05
Sn01,56.85000000000001,4.7333333333333336e-05
Sn01,56.95,2.5e-05
Sn01,57.05,1.2666666666666667e-05
Sn01,57.150000000000006,5.666666666666667e-06
Sn01,57.25,2.666666666666667e-06
Sn01,57.35000000000001,1.6666666666666667e-06
Ta01,51.75,6.666666666666667e-07
Ta01,51.85000000000001,6.666666666666667e-07
Ta01,51.95,1e-06
Ta01,52.05,3.6666666666666666e-06
Ta01,52.150000000000006,6.666666666666667e-06
Ta01,52.25,1.9333333333333333e-05
Ta01,52.35000000000001,3.933333333333333e-05
Ta01,52.45,7.8e-05
Ta01,52.55,0.00014733333333333333
Ta01,52.650000000000006,0.000298
Ta01,52.75,0.0005276666666666666
Ta01,52.85000000000001,0.000896
Ta01,52.95,0.001436
Ta01,53.05,0.0023423333333333334
Ta01,53.150000000000006,0.0037303333333333333
Ta01,53.25,0.0057146666666666665
Ta01,53.35000000000001,0.008415333333333334
Ta01,53.45,0.011966333333333334
Ta01,53.55,0.016506666666666666
Ta01,53.650000000000006,0.022252
Ta01,53.75,0.028778333333333333
Ta01,53.85000000000001,0.03579266666666667
Ta01,53.95,0.04353133333333333
Ta01,54.05,0.051146
Ta01,54.150000000000006,0.058389
Ta01,54.25,0.064487
Ta01,54.35000000000001,0.068937
Ta01,54.45,0.071343
Ta01,54.55,0.07137466666666667
Ta01,54.650000000000006,0.06922333333333333
Ta01,54.75,0.064997
Ta01,54.85000000000001,0.058918
Ta01,54.95,0.051741666666666665
Ta01,55.05,0.044132
