name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.915182066666674,0.5550512032101743
Sn01,Sn,37.475,54.71934113333333,0.5597222649624682
Ta01,Ta,27.334,54.53435166666668,0.5568672998694473
Cu01,Cu,21.906,54.384592999999995,0.5582767512781333
Al_degrader_A1,Al,599.0,51.77254741,1.7348149219159639
Ni02,Ni,23.091,49.09004856666666,0.6032708310877287
Sn02,Sn,37.211,48.88077033333333,0.6082259502738728
Ta02,Ta,27.396,48.68486733333334,0.6055074640879518
Cu02,Cu,22.235,48.52351766666668,0.6075408129126434
Al_degrader_B2,Al,415.0,46.5328991125,1.405878850006896
Ni03,Ni,22.966,44.49327383333334,0.6504287703881485
Sn03,Sn,37.13,44.2687625,0.6563025663470698
Ta03,Ta,27.702,44.057583566666665,0.653945965797847
Cu03,Cu,22.253,43.88305816666667,0.6563897629838328
Al_degrader_C5,Al,261.5,42.49959263333333,1.11252996696077
Ni04,Ni,22.982,41.086407300000005,0.6916896210295795
Sn04,Sn,36.99,40.84871336666667,0.6981043579398897
Ta04,Ta,27.518,40.62586773333334,0.6959576953418425
Cu04,Cu,22.289,40.44104730000001,0.6988398046019154
Al_degrader_E8_E1,Al,136.6,39.6290544,0.8856028042190472
Ni05,Ni,22.942,38.80092666666667,0.7226309486560593
Sn05,Sn,8.004,38.66270406666667,0.7195857975415182
Ta05,Ta,27.197,38.54160193333333,0.7246495284914837
Cu05,Cu,22.311,38.35041170000001,0.7281656499976115
Al_degrader_E4_E3_E2,Al,204.89999999999998,37.123655049999996,1.0727108426518452
Ni06,Ni,22.631,35.8698719,0.7678191698508119
Sn06,Sn,7.816,35.725478100000004,0.7650172327604066
Ta06,Ta,27.374,35.5974051,0.7706287994190134
Cu06,Cu,22.233,35.39428816666667,0.7746477274391496
Al_degrader_E7_E6_E5,Al,204.89999999999998,34.08512478571429,1.132373129821973
Ni07,Ni,22.529,32.7428679,0.8240722438898122
Sn07,Sn,7.917,32.588287300000005,0.8215091798992328
Ta07,Ta,27.539,32.45043853333334,0.827993821044889
Cu07,Cu,22.258,32.232072599999995,0.8329953511250268
