reaction,beam_current_nA,beam_current_unc_nA
62ZNg,7.149234194266465e-26,4.377839905036113e-27
62CUg,0.0,0.0
63ZNg,1.0672266119384488e-24,2.5964174418548084e-26
65ZNg,4.5839122329377415e-29,7.730005620154605e-31
56COg,3.6247190325131715e-29,3.914646625843248e-30
58COg,1.0918375349171109e-27,6.164466125495416e-29
