filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time,idx,sig,l,h,A,SNR
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,172HFg,23.9331,171.75531786082124,62.71417066783947,0.203,0.017,0.0020600850339409843,0.0027368640015860116,455695.77304207557,629969.5758128829,412.7679103641989,570.6246157725388,0.7506391731296614,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,179Wg,30.7,3404.8389205843496,239.05152653119643,0.18,0.009000000000000001,0.0020586455314407677,0.0027980466050509544,10195029.442775607,13885699.912205504,9234.628118456167,12577.626732070203,3.0787222153454348,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,173TAg,37.4,33.739660000542116,64.00648004364822,0.0124,0.0019,0.0020660081587234817,0.002892755981162533,1461278.4413944841,3461859.781224277,1323.6217766254385,3135.7425554567726,0.932877284483911,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,172LUm,52.965,0.028778007133016415,108311.94179554208,0.1097,0.0024,0.0020406257118626473,0.0023037670202853727,142.6384879813977,536849252.1617344,0.12920152896865733,486276.49652331014,291.4042140621908,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,175HFg,52.965,2.08486195272192,399812.8706249274,0.266,0.013999999999999999,0.0020406257118626473,0.0023037670202853727,4261.655163629677,817255349.8808509,3.860194894592099,740267.5270659882,291.4042140621908,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,172HFg,52.965,0.004854738018203397,301957.64402907493,0.36,0.04,0.0020406257118626473,0.0023037670202853727,7.332396407649485,456064392.36045885,0.006641663412725983,413101.80467432865,291.4042140621908,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,172LUm,54.07,70.33437802228391,397180142.8185487,0.19,0.004,0.002030555416355716,0.0021936464817908638,202276.39108115147,1142260273816.3093,183.22136873292706,1034656045.1234686,291.4042140621908,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,175HFg,54.07,13617.385403817263,669249082.4597695,0.461,0.024,0.002030555416355716,0.0021936464817908638,16140758.887619186,793264474642.2008,14620.252615597088,718536661.8135877,291.4042140621908,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,172HFg,54.07,47775.17623003829,701507580.9894314,0.63,0.06,0.002030555416355716,0.0021936464817908638,41437437.86250869,608447297748.3197,37533.91110734483,551129798.6850722,291.4042140621908,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,173TAg,54.611,43002.15372672531,86598034.80665453,0.344,0.025,0.0020251281351065615,0.0021380471445176844,68489697.82499297,137925046563.73212,62037.76976901537,124932107.39468488,291.4042140621908,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,180TAg,54.611,161633.33505666026,116705465.14979787,0.203,0.008,0.0020251281351065615,0.0021380471445176844,436242909.71029925,314984444139.07965,395147.56314338703,285311996.50278956,291.4042140621908,09/24/2025 21:37:32,995.0,1104.0,,,,,,
,178W,57.535,,,0.12300000000000001,0.024,,,,,,,,,,,2158.0,4.353290227240272,2125.0,2190.0,1150197.9378580428,16461.242047890348
,177Wg,57.535,,,0.73,0.03,,,,,,,,,,,2158.0,4.353290227240272,2125.0,2190.0,55112.31976195131,788.748793196132
,179Wm,57.981,,,0.156,0.013000000000000001,,,,,,,,,,,2175.0,4.3631335257817145,2142.0,2207.0,1936.565383250898,36.7206536133974
,179Wm,59.318,,,0.268,0.022000000000000002,,,,,,,,,,,2225.0,4.392084403844778,2192.0,2257.0,3272.3293271866924,114.8279201075575
,180TAg,59.318,,,0.0034000000000000002,0.0009,,,,,,,,,,,2225.0,4.392084403844778,2192.0,2257.0,302.3191734875357,10.608553855444216
,175HFg,61.05,,,0.051,0.003,,,,,,,,,,,2290.0,4.42972054532676,2256.0,2323.0,290.93178151303,11.508279288891437
,175HFg,61.29,,,0.098,0.005,,,,,,,,,,,2299.0,4.434931703378112,2265.0,2332.0,557.2274968760498,21.96377323937434
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,175HFg,62.929,32311.60325216777,3995168071.614634,0.0333,0.0017000000000000001,0.001904005417937255,0.0012631109811451953,565447237.7661272,69914721745881.53,512180.46899105725,63328552306.05211,15.973295058010082,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,178TAg,62.985,4525.364319357683,7165184109.857979,0.043,0.003,0.001902999673135865,0.0012576254456639299,61360991.94351445,97155228488042.78,55580.60864448773,88002924355.11122,15.973295058010082,09/24/2025 21:37:32,995.0,1104.0,,,,,,
Data/LEPS/CO09242025_Ta04_10cm_LEPS.Spe,180TAg,62.985,21035.674516067873,507596.58805412124,0.0393,0.0016,0.001902999673135865,0.0012576254456639299,312083760.87773764,7533501383.133611,282684.5660124435,6823823.716606531,15.973295058010082,09/24/2025 21:37:32,995.0,1104.0,,,,,,
