name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145,29.87518402,0.5611745759891832
Sn08,Sn,8.047,29.71472396,0.5546765278988453
Ta08,Ta,27.227,29.576079600000003,0.5622392772333146
Cu08,Cu,22.197,29.356667159999997,0.5667544937426914
Al_degrader_E2_E1,Al,136.6,28.36457046,0.8325131535870098
Ni09,Ni,22.662,27.345181999999998,0.6004737833377907
Sn09,Sn,7.829,27.17741256,0.5942701294480872
Ta09,Ta,27.377,27.02996722,0.6027379969153028
Cu09,Cu,22.091,26.795394979999998,0.6080711834898934
Al_degrader_E4_E3,Al,136.6,25.726945139999998,0.8872300079309972
Ni10,Ni,23.107,24.621302640000003,0.6516788914250871
Sn10,Sn,8.232,24.43484302,0.6453420078975796
Ta10,Ta,27.165,24.274590900000003,0.6547674610403224
Cu10,Cu,22.259,24.02044874,0.66176162432738
Al_degrader_E6_E5,Al,136.6,22.85007514666667,0.9577815277433115
Ni11,Ni,22.941,21.63376418,0.720150588799959
Sn11,Sn,7.982,21.43069024,0.7142494183187987
Ta11,Ta,27.2,21.25580642,0.7254496588232595
Cu11,Cu,22.211,20.9755279,0.7347142287458369
Al_degrader_E8_E7,Al,136.6,19.664609241818184,1.0665834104614977
Ni12,Ni,23.155,18.287423399999998,0.8204688198417048
Sn12,Sn,8.021,18.05491554,0.8155749664295173
Ta12,Ta,27.702,17.854254779999998,0.8302432735332166
Cu12,Cu,22.177,17.5327882,0.843587470948188
Al_degrader_E9,Al,68.3,16.698029624999997,0.9697490761131765
Ni13,Ni,23.153,15.81875796,0.916925109121044
Sn13,Sn,7.354,15.563953199999997,0.9136217410995426
Ta13,Ta,27.337,15.34774252,0.9315782010030341
Cu13,Cu,22.168,14.99042856,0.950682124969396
Al_degrader_E10,Al,68.3,14.039402262,1.1033233186284441
Ni14,Ni,23.067,13.026627509999999,1.061504443566394
Sn14,Sn,7.62,12.73006378,1.06621242551947
Ta14,Ta,27.361,12.478260899999997,1.0913384939289872
Cu14,Cu,22.125,12.061796099999999,1.1199254436902442
