name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145,29.86162528,0.5642182103272825
Sn08,Sn,8.047,29.684284639999998,0.5560947835217216
Ta08,Ta,27.227,29.530976839999997,0.5651098429364103
Cu08,Cu,22.197,29.288260159999997,0.5703123812059269
Al_degrader_E2_E1,Al,136.6,28.188335108571426,0.8720003655434782
Ni09,Ni,22.662,27.0551687,0.6084441037106942
Sn09,Sn,7.829,26.86831088,0.6006019471110843
Ta09,Ta,27.377,26.704033739999996,0.6107877432804397
Cu09,Cu,22.091,26.44246854,0.6170397017293687
Al_degrader_E4_E3,Al,136.6,25.246628182499997,0.9409974953190612
Ni10,Ni,23.107,24.00466642,0.6679685715094563
Sn10,Sn,8.232,23.7946719,0.6599076809299843
Ta10,Ta,27.165,23.61417302,0.6714213448380082
Cu10,Cu,22.259,23.327502399999997,0.6798543788152284
Al_degrader_E6_E5,Al,136.6,21.998824956,1.0338146623024835
Ni11,Ni,22.941,20.61044716,0.7514347088389878
Sn11,Sn,7.982,20.37767,0.7439445220579286
Ta11,Ta,27.2,20.1773222,0.7580330988731032
Cu11,Cu,22.211,19.85532094,0.7698026276894074
Al_degrader_E8_E7,Al,136.6,18.332086075714287,1.174757352612311
Ni12,Ni,23.155,16.715293539999998,0.8841103634921765
Sn12,Sn,8.021,16.440281919999997,0.8784474234244833
Ta12,Ta,27.702,16.20315046,0.8980714422593497
Cu12,Cu,22.177,15.8212221,0.9169201627576907
Al_degrader_E9,Al,68.3,14.813901407999998,1.0831145136021478
Ni13,Ni,23.153,13.74023145,1.0242179429354366
Sn13,Sn,7.354,13.426797579999999,1.0257737918791567
Ta13,Ta,27.337,13.161345315,1.049994009757937
Cu13,Cu,22.168,12.718260390000001,1.0801807121759988
Al_degrader_E10,Al,68.3,11.502872528000001,1.309807467051127
Ni14,Ni,23.067,10.1740315,1.290613412687064
Sn14,Sn,7.62,9.77732368,1.3134547540403732
Ta14,Ta,27.361,9.44082398,1.3566711940101623
Cu14,Cu,22.125,8.869968445714285,1.426662468532278
