name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145,29.875996119999996,0.5612572894359107
Sn08,Sn,8.047,29.71741584,0.5549375039741812
Ta08,Ta,27.227,29.58039904,0.5623631772858874
Cu08,Cu,22.197,29.36355694,0.5668357675533862
Al_degrader_E2_E1,Al,136.6,28.383408619999997,0.8272546810442933
Ni09,Ni,22.662,27.37650806,0.6000751125942788
Sn09,Sn,7.829,27.21086784,0.594059948871942
Ta09,Ta,27.377,27.06525522,0.6023589523388456
Cu09,Cu,22.091,26.83359016,0.6075826912866877
Al_degrader_E4_E3,Al,136.6,25.779127551428573,0.8808181449274817
Ni10,Ni,23.107,24.688278900000004,0.6504535665324543
Sn10,Sn,8.232,24.504377359999996,0.6442954281379237
Ta10,Ta,27.165,24.346312559999998,0.6535126921386044
Cu10,Cu,22.259,24.09568136,0.6603666997574532
Al_degrader_E6_E5,Al,136.6,22.942286246666665,0.9495477593094054
Ni11,Ni,22.941,21.7442695,0.7174677331906641
Sn11,Sn,7.982,21.544318939999997,0.7117509212900791
Ta11,Ta,27.2,21.372138539999998,0.7226607894764101
Cu11,Cu,22.211,21.096250719999997,0.7316648055629583
Al_degrader_E8_E7,Al,136.6,19.807391187272728,1.0548496842272532
Ni12,Ni,23.155,18.45462896,0.8148516816754557
Sn12,Sn,8.021,18.2263926,0.8100821594537433
Ta12,Ta,27.702,18.02941094,0.8242754548136905
Cu12,Cu,22.177,17.71400926,0.8371555257144591
Al_degrader_E9,Al,68.3,16.896164407500002,0.9590823049823065
Ni13,Ni,23.153,16.03553928,0.9075039514939214
Sn13,Sn,7.354,15.78630168,0.9041809257162957
Ta13,Ta,27.337,15.57478488,0.9214301085396469
Cu13,Cu,22.168,15.225474519999997,0.9396532241368458
Al_degrader_E10,Al,68.3,14.298125105999999,1.0857448337673492
Ni14,Ni,23.067,13.312381994999999,1.044062181673017
Sn14,Sn,7.62,13.02409312,1.0481156478026008
Ta14,Ta,27.361,12.7792594,1.0718865613075108
Cu14,Cu,22.125,12.374928404999999,1.0984168285874703
