name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145,29.85692306,0.5648972781313754
Sn08,Sn,8.047,29.67394972,0.5561824331205739
Ta08,Ta,27.227,29.51575058,0.5657154698518183
Cu08,Cu,22.197,29.26523834,0.5711605355712563
Al_degrader_E2_E1,Al,136.6,28.1291004,0.8889292796423989
Ni09,Ni,22.662,26.957756859999996,0.6107999576972319
Sn09,Sn,7.829,26.76446504,0.602336072485949
Ta09,Ta,27.377,26.59451688,0.6131445292873986
Cu09,Cu,22.091,26.32383058,0.6196986121146824
Al_degrader_E4_E3,Al,136.6,25.08482964,0.9546751490310567
Ni10,Ni,23.107,23.79614542,0.6732400176853895
Sn10,Sn,8.232,23.578088899999997,0.6645181012559327
Ta10,Ta,27.165,23.390626119999997,0.6767995915880458
Cu10,Cu,22.259,23.09276244,0.6857682128279543
Al_degrader_E6_E5,Al,136.6,21.709168205454546,1.0571502746232515
Ni11,Ni,22.941,20.260218799999997,0.7623033223898213
Sn11,Sn,7.982,20.016949359999995,0.7542327402039707
Ta11,Ta,27.2,19.8075483,0.7693887719268522
Cu11,Cu,22.211,19.470728880000003,0.7821267293309604
Al_degrader_E8_E7,Al,136.6,17.870398736,1.2155281302419958
Ni12,Ni,23.155,16.16486724,0.9083224746612749
Sn12,Sn,8.021,15.8738507,0.9025089804038019
Ta12,Ta,27.702,15.622958579999999,0.92421477698876
Cu12,Cu,22.177,15.2180191,0.9455155639307001
Al_degrader_E9,Al,68.3,14.14316159,1.1265949487498477
Ni13,Ni,23.153,12.990930465000002,1.0706616495115924
Sn13,Sn,7.354,12.6534653,1.0738476845884195
Ta13,Ta,27.337,12.367705064999997,1.101967489163517
Cu13,Cu,22.168,11.888654352,1.1367443133930601
Al_degrader_E10,Al,68.3,10.554188303333332,1.409477272389255
Ni14,Ni,23.067,9.072227340000001,1.4156492931713434
Sn14,Sn,7.62,8.6235114,1.455434460657724
Ta14,Ta,27.361,8.242021354285715,1.5163394054897925
Cu14,Cu,22.125,7.583135826666666,1.6263662787713133
