name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145,29.82589632,0.570379397778757
Sn08,Sn,8.047,29.60345848,0.5569251889761223
Ta08,Ta,27.227,29.410953879999997,0.5704034345206431
Cu08,Cu,22.197,29.10574342,0.5775809023216606
Al_degrader_E2_E1,Al,136.6,27.71391614,0.993121357864939
Ni09,Ni,22.662,26.27011232,0.6284096289715948
Sn09,Sn,7.829,26.030676739999997,0.6150923638145512
Ta09,Ta,27.377,25.820004819999998,0.6307531174530709
Cu09,Cu,22.091,25.48370092,0.6397623064788621
Al_degrader_E4_E3,Al,136.6,23.929100116363635,1.0997928473499763
Ni10,Ni,23.107,22.2968592,0.7142835763024095
Sn10,Sn,8.232,22.0185536,0.7003584950059791
Ta10,Ta,27.165,21.779238980000002,0.7188660532036268
Cu10,Cu,22.259,21.397383599999998,0.7323543525173043
Al_degrader_E6_E5,Al,136.6,19.590162716,1.2674399638971083
Ni11,Ni,22.941,17.66389662,0.8550514414657024
Sn11,Sn,7.982,17.3359941,0.8425939102350491
Ta11,Ta,27.2,17.053789899999998,0.8678294386905702
Cu11,Cu,22.211,16.59581466,0.8905464163810242
Al_degrader_E8_E7,Al,136.6,14.32445338,1.5998481354824199
Ni12,Ni,23.155,11.79328301,1.161155125401141
Sn12,Sn,8.021,11.34286404,1.1720629097769788
Ta12,Ta,27.702,10.95466504,1.2152277058238092
Cu12,Cu,22.177,10.309977874285714,1.2755060886326746
Al_degrader_E9,Al,68.3,8.413030071428572,1.799215977874409
Ni13,Ni,23.153,6.117353343749999,1.9881479953239634
Sn13,Sn,7.354,5.3682731200000005,2.1120513851432365
Ta13,Ta,27.337,4.741844206666666,2.214551527623995
Cu13,Cu,22.168,3.62095829032258,2.3166219128727583
Al_degrader_E10,Al,68.3,1.1646018776470588,1.8417416343277464
Ni14,Ni,23.067,0.10075271764705881,0.4426492597501099
Sn14,Sn,7.62,0.056194478823529424,0.26035114917964863
Ta14,Ta,27.361,0.0429283,0.17850318454975564
Cu14,Cu,22.125,0.033073467058823525,0.08352417748034241
