name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145,29.87370712,0.5625980594183609
Sn08,Sn,8.047,29.7113831,0.5559600851089851
Ta08,Ta,27.227,29.5711197,0.5636654790493294
Cu08,Cu,22.197,29.3491005,0.5682748188154654
Al_degrader_E2_E1,Al,136.6,28.345041600000002,0.838914253943417
Ni09,Ni,22.662,27.313112059999998,0.6025206853565747
Sn09,Sn,7.829,27.143239259999998,0.5961739665522576
Ta09,Ta,27.377,26.993924119999996,0.6048434313789195
Cu09,Cu,22.091,26.756365279999997,0.6102699612552805
Al_degrader_E4_E3,Al,136.6,25.674164062499997,0.8866079338318015
Ni10,Ni,23.107,24.55341462,0.6547149999581922
Sn10,Sn,8.232,24.36440234,0.6482148028258259
Ta10,Ta,27.165,24.201953579999994,0.6578994290354595
Cu10,Cu,22.259,23.944255199999997,0.6650175123054731
Al_degrader_E6_E5,Al,136.6,22.756745106666667,0.9674879913480694
Ni11,Ni,22.941,21.52196868,0.7248304543126328
Sn11,Sn,7.982,21.3157116,0.7188155925030008
Ta11,Ta,27.2,21.138119380000003,0.7303113626860913
Cu11,Cu,22.211,20.853406500000002,0.7397965602500122
Al_degrader_E8_E7,Al,136.6,19.520251629999997,1.076022141167338
Ni12,Ni,23.155,18.11805618,0.8284313074502964
Sn12,Sn,8.021,17.88115066,0.823501570600545
Ta12,Ta,27.702,17.67672018,0.8386173298834025
Cu12,Cu,22.177,17.349082399999997,0.8524841443746857
Al_degrader_E9,Al,68.3,16.496974859999998,0.9829442223381653
Ni13,Ni,23.153,15.598471259999998,0.9291598143236783
Sn13,Sn,7.354,15.33794668,0.9259966448519009
Ta13,Ta,27.337,15.116914459999998,0.9446635808809973
Cu13,Cu,22.168,14.75132768,0.9647506105029514
Al_degrader_E10,Al,68.3,13.775783738181817,1.1221429137996755
Ni14,Ni,23.067,12.734577,1.082846471052568
Sn14,Sn,7.62,12.42934526,1.0883754968371588
Ta14,Ta,27.361,12.170300459999998,1.1130988870373504
Cu14,Cu,22.125,11.74080015,1.1460104946116234
