name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145,29.85472232,0.5644608653341856
Sn08,Sn,8.047,29.669876799999997,0.5555147335775712
Ta08,Ta,27.227,29.51006076,0.5652077942741257
Cu08,Cu,22.197,29.25694222,0.570736588262459
Al_degrader_E2_E1,Al,136.6,28.10867237142857,0.8941880485043907
Ni09,Ni,22.662,26.92452516,0.6108233149831254
Sn09,Sn,7.829,26.72909716,0.6021563000417204
Ta09,Ta,27.377,26.55724884,0.6131871563549374
Cu09,Cu,22.091,26.28349364,0.6198517584709672
Al_degrader_E4_E3,Al,136.6,25.029926353333334,0.9612354048356219
Ni10,Ni,23.107,23.725577979999997,0.6742227309570032
Sn10,Sn,8.232,23.50478112,0.6652589517560403
Ta10,Ta,27.165,23.31498466,0.6777992475391843
Cu10,Cu,22.259,23.013338079999997,0.6869601319013452
Al_degrader_E6_E5,Al,136.6,21.611068156363636,1.0662813494256063
Ni11,Ni,22.941,20.1415759,0.7650988070433714
Sn11,Sn,7.982,19.89472968,0.756800506690566
Ta11,Ta,27.2,19.68226378,0.7723793089539048
Cu11,Cu,22.211,19.34034692,0.7854550250946986
Al_degrader_E8_E7,Al,136.6,17.713422844,1.2300776803027325
Ni12,Ni,23.155,15.97712314,0.9158582080630934
Sn12,Sn,8.021,15.680559339999999,0.9099579673472639
Ta12,Ta,27.702,15.424869119999999,0.9324082953676599
Cu12,Cu,22.177,15.011805559999999,0.9546324766909443
Al_degrader_E9,Al,68.3,13.91284819,1.1428211930191545
Ni13,Ni,23.153,12.732598367999998,1.0845960309736231
Sn13,Sn,7.354,12.386289399999999,1.0904459789680734
Ta13,Ta,27.337,12.093118305000003,1.1200958069173936
Cu13,Cu,22.168,11.600841204,1.1572954982612826
Al_degrader_E10,Al,68.3,10.221193465263159,1.4479084360329566
Ni14,Ni,23.067,8.678560552499999,1.4681411343569442
Sn14,Sn,7.62,8.20841928,1.5161069045830116
Ta14,Ta,27.361,7.8081517425,1.585564507673596
Cu14,Cu,22.125,7.1109481259999985,1.7156688458723868
