#ZVView-data-copy:  17-Feb-2026 09:50:40
#=======================================
#
#name:   29-CU-0(P,X)27-CO-58,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  174
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          22.3          0.3         4e-5         1e-5  # 2015,M.Shahid+           ## D7015009  #dY:25.0%  
         23.69         0.58      1.46e-5       2.8e-6  # 2020,J.Cervenak+         ## D0985013  #dY:19.2%  
          24.3            0       1.5e-5       4.3e-6  # 1992,S.J.Mills+          ## A0507015  #dY:28.7%  
          24.5          0.3      0.00044         3e-5  # 2015,M.Shahid+           ## D7015009  #dY:6.8%   
         24.85         0.55      7.74e-5       7.6e-6  # 2020,J.Cervenak+         ## D0985013  #dY:9.8%   
            26            0      0.00392     0.000196  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
          26.6          0.3      0.00074         5e-5  # 2015,M.Shahid+           ## D7015009  #dY:6.8%   
         26.62          0.5     0.000948       6.6e-5  # 2020,J.Cervenak+         ## D0985013  #dY:7.0%   
          26.7         0.34       0.0013       3.9e-5  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
            27            0     0.023615     0.000571  # 2003,H.Yashima+          ## E1829047  #dY:2.4%   
          27.1         0.34      0.00162      4.86e-5  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          27.3         0.34      0.00203      6.09e-5  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          27.6            0      0.00212      0.00017  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
         27.85         0.45       0.0017      0.00013  # 1985,P.Kopecky           ## A0333002  #dY:7.6%   
         28.34         0.46      0.00472      0.00032  # 2020,J.Cervenak+         ## D0985013  #dY:6.8%   
          28.5          0.3       0.0044       0.0003  # 2015,M.Shahid+           ## D7015009  #dY:6.8%   
         28.52         0.45       0.0033      0.00026  # 1985,P.Kopecky           ## A0333002  #dY:7.9%   
          29.2         0.45      0.00558      0.00042  # 1985,P.Kopecky           ## A0333002  #dY:7.5%   
         29.48          0.6       0.0079      0.00076  # 2016,E.Garrido+          ## O2315023  #dY:9.6%   
          29.6         0.34      0.00846    0.0002538  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
         29.86         0.45      0.00839      0.00056  # 1985,P.Kopecky           ## A0333002  #dY:6.7%   
         29.96         0.42      0.01249      0.00086  # 2020,J.Cervenak+         ## D0985013  #dY:6.9%   
            30          2.1        0.007       0.0013  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:18.6%  
          30.4          0.3       0.0152        0.001  # 2015,M.Shahid+           ## D7015009  #dY:6.6%   
          30.5         0.34      0.01329    0.0003987  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
         30.51         0.45       0.0124       0.0007  # 1985,P.Kopecky           ## A0333002  #dY:5.6%   
          30.6            0       0.0155       0.0012  # 1992,S.J.Mills+          ## A0507015  #dY:7.7%   
         31.15         0.45       0.0165       0.0009  # 1985,P.Kopecky           ## A0333002  #dY:5.5%   
         31.53         0.39       0.0228       0.0016  # 2020,J.Cervenak+         ## D0985013  #dY:7.0%   
         31.78         0.45       0.0207       0.0011  # 1985,P.Kopecky           ## A0333002  #dY:5.3%   
            32            0       0.0692      0.00346  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
          32.1         0.34        0.022      0.00066  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          32.1         0.34       0.0222     0.000666  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          32.2          0.3        0.028       0.0018  # 2015,M.Shahid+           ## D7015009  #dY:6.4%   
          32.4         0.45       0.0238       0.0013  # 1985,P.Kopecky           ## A0333002  #dY:5.5%   
         33.02         0.36       0.0326       0.0022  # 2020,J.Cervenak+         ## D0985013  #dY:6.7%   
          33.4            0       0.0343       0.0027  # 1992,S.J.Mills+          ## A0507015  #dY:7.9%   
          33.9          0.2       0.0368       0.0023  # 2015,M.Shahid+           ## D7015009  #dY:6.2%   
          34.3         0.34       0.0358     0.001074  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
         34.49         0.33       0.0418       0.0029  # 2020,J.Cervenak+         ## D0985013  #dY:6.9%   
          35.1          1.9       0.0445       0.0029  # 2016,S.A.Graves+         ## C2243004  #dY:6.5%   
          35.5          0.2       0.0459       0.0029  # 2015,M.Shahid+           ## D7015009  #dY:6.3%   
          35.9          0.3       0.0493       0.0034  # 2020,J.Cervenak+         ## D0985013  #dY:6.9%   
            36          1.3        0.042       0.0082  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:19.5%  
          36.1            0       0.0487       0.0039  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
         36.37         1.06      0.05022      0.00535  # 2016,E.Garrido+          ## O2315023  #dY:10.7%  
          36.9         0.34        0.047      0.00141  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          37.1          0.2       0.0535       0.0034  # 2015,M.Shahid+           ## D7015009  #dY:6.4%   
          38.6            0       0.0561       0.0045  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          38.6         0.34       0.0509     0.001527  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          38.7          0.2       0.0585       0.0037  # 2015,M.Shahid+           ## D7015009  #dY:6.3%   
            40            0       0.0813     0.004065  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
          40.1          0.2       0.0605       0.0039  # 2015,M.Shahid+           ## D7015009  #dY:6.4%   
         40.45         0.83      0.06163      0.00572  # 2016,E.Garrido+          ## O2315023  #dY:9.3%   
          40.9         0.34       0.0542     0.001626  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
         41.05         1.54       0.0623       0.0046  # 2018,A.S.Voyles+         ## C2327011  #dY:7.4%   
          41.5            0       0.0584       0.0047  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          41.6          0.2       0.0588       0.0037  # 2015,M.Shahid+           ## D7015009  #dY:6.3%   
          42.5         0.34       0.0524     0.001572  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
            43          0.2       0.0558       0.0036  # 2015,M.Shahid+           ## D7015009  #dY:6.5%   
          43.8            0       0.0555       0.0045  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
         45.43         0.59      0.05234      0.00488  # 2016,E.Garrido+          ## O2315023  #dY:9.3%   
          45.6         0.34       0.0445     0.001335  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          45.6         0.34       0.0437     0.001311  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          45.9            0         0.05        0.004  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
            48            0       0.0433       0.0035  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
            48          1.6       0.0428       0.0031  # 2016,S.A.Graves+         ## C2243004  #dY:7.2%   
            48            0     0.031502     0.000762  # 2003,H.Yashima+          ## E1829047  #dY:2.4%   
          49.1         0.34       0.0357     0.001071  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          49.1         0.34       0.0353     0.001059  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
            50          2.1        0.029       0.0055  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:19.0%  
            50            0       0.0578      0.00289  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
