Ta_ad_mg_per_cm2,Ta_ad_unc_mg_per_cm2,Ta_NT_atoms_per_cm2,Ta_NT_unc_atoms_per_cm2
27.334,0.09,9.097044207940402e+19,2.9952951588301606e+17
27.396,0.138,9.11767846347901e+19,4.592785910206247e+17
27.702,0.08,9.219518498879236e+19,2.66248458562681e+17
27.518,0.066,9.15828135340982e+19,2.1965497831421184e+17
27.197,0.141,9.051449159411542e+19,4.692629082167251e+17
27.374,0.157,9.110356630868537e+19,5.2251259992926144e+17
27.539,0.073,9.16527037544709e+19,2.429517184384464e+17
27.227,0.129,9.061433476607644e+19,4.2932563943232314e+17
27.377,0.074,9.111355062588146e+19,2.4627982417047987e+17
27.165,0.151,9.040799221069036e+19,5.025439655370604e+17
27.2,0.136,9.052447591131152e+19,4.5262237955655776e+17
27.702,0.136,9.219518498879236e+19,4.5262237955655776e+17
27.337,0.041,9.098042639660012e+19,1.3645233501337398e+17
27.361,0.104,9.106030093416892e+19,3.4612299613148525e+17
