filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,57COg,122.06065,8425.88812156366,313.9695206637687,0.856,0.0017,0.001207858208336,3.974958730977227e-05,8639856.850043964,440050.4672490234,4954.046358970163,252.32251562444,4.148219900988285,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,57NIg,127.164,137464.4342773617,762.0893007057117,0.167,0.005,0.0012159429035965,4.086112293716108e-05,717697236.2027262,32603374.549090683,411523.644611655,18694.595498331815,4.148219900988285,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,57COg,136.47356,1305.259311398691,160.55980289337455,0.1068,0.0008,0.0012202535473427,4.3461822153537195e-05,10618325.805679366,1393480.7018268618,6088.4895674767,799.0141638915492,1.6442981163895554,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,56NIg,158.38,4722.419524709716,142.17251443452173,0.988,0.01,0.0011807625803333,4.692204794158679e-05,4291663.060731473,227082.6057953647,2460.815975190065,130.20791616706694,1.357531874601709,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,56NIg,269.5,1336.55150317056,89.91646689043998,0.365,0.008,0.0007754022852799,1.4706063972713851e-05,5006639.666953946,391486.0918622461,2870.7796255469875,224.4759701044989,0.8573807701697067,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,61CUg,282.956,9811.578308415965,137.23201875776945,0.122,0.0061,0.0007397989000803,1.267398368706e-05,115251328.65005276,6407645.482590863,66084.47743695686,3674.1086482745777,1.0931863839715046,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,61CUg,373.05,1421.8141142067911,70.54279278779775,0.021,0.004,0.0005681749809678,8.13052090758217e-06,126334509.52685614,25156399.04494792,72439.51234338082,14424.540736782066,0.7880250623271828,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,55COg,477.2,2058.967426443785,72.78963549155652,0.2019999999999999,0.017,0.0004526663105481,7.422391788980879e-06,23872643.428498972,2275675.4862817707,13688.442332854916,1304.8597971799145,0.990356494989856,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,56NIg,480.44,661.48119889129,68.26028126159818,0.365,0.008,0.0004498852827948,7.3947517047746125e-06,4270742.948569713,485272.4501673221,2448.8204980330925,278.2525517014462,0.990356494989856,09/23/2025 23:27:34,1645.0,1744.0
Data/IDM/AO09232025_Ni08_45cm_IDM.Spe,61CUg,588.605,515.4543861505858,52.667247129245595,0.0117,0.0021,0.0003742169792504,6.22257633679109e-06,124813472.85839178,26439308.59376001,71567.35829036226,15160.154010183493,1.4121325169861392,09/23/2025 23:27:34,1645.0,1744.0
