isotope,A0,cov A0,sigma_A0
178Wg,29529.656976073336,2384132.0261630504,1544.0634786701778
178TAg,0.0,0.0,0.0
179Wg,26246734.33961089,40284373594692.51,6346997.210862197
179TAg,0.0,0.0,0.0
179Wm1,19372253.79852863,538200734312085.2,23199153.741291624
179TAg,0.0,0.0,0.0
179Wg,0.0,0.0,0.0
173TAg,833439214.144133,inf,inf
173HFg,0.0,,
173LUg,0.0,,
175TAg,3151.90828367544,2932410.95524592,1712.4283795960403
175HFg,0.0,0.0,0.0
176TAg,3272.485351673818,3512630.366565576,1874.2012609550704
178TAg,1000000.0,0.0,0.0
180TAg,749519.7469581722,84148904.66906491,9173.271208738184
172HFg,4438.938537992671,inf,inf
172LUm1,0.0,,
172LUg,0.0,,
175HFg,9.4485983027983,118.26915229511324,10.875162173278762
176LUm1,38178.52602442878,773468820.1048899,27811.307414519186
