isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,0.0,0.0
59NIg,0.0,0.0,0.0
60CUg,5187.157753786687,30298752.4979674,5504.430260977733
61CUg,48090.32402938005,2117877.4712004582,1455.2929159452601
62CUg,265763926.98775187,6.982759198424792e+16,264249109.71325508
64CUg,617063.8774998558,108247742.1319973,10404.217516564968
60ZNg,46466.47203951033,4862674855.359396,69732.88216730609
60CUg,0.0,0.0,0.0
61ZNg,6428073.312810366,162171949864.0268,402705.78573448234
61CUg,0.0,0.0,0.0
62ZNg,499841.6889872493,60538134.11165939,7780.625560432747
62CUg,0.0,0.0,0.0
63ZNg,6054216.386166516,47688083077.465836,218376.01305424055
65ZNg,448.6650908756078,18.987808003202634,4.357500201170693
56COg,1.752240711731463,3.024633343265565,1.7391473034983451
59FEg,108.72407347557504,inf,inf
61FEg,14716363.264208304,inf,inf
61COg,0.0,,
56NIg,18.17064533393249,1207.0345359286828,34.742402564138864
56COg,0.0,0.0,0.0
57NIg,41.75939114969525,inf,inf
57COg,0.0,,
