isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,0.0,0.0
59NIg,0.0,0.0,0.0
60CUg,46912.4201240773,587506720.3883665,24238.537917712085
61CUg,3627874.447361025,3631237617.2738914,60259.75122147362
62CUg,1000000.0,0.0,0.0
64CUg,558022.983674661,155184244.4066604,12457.296833850449
60ZNg,420240.67073484184,72995309694.4776,270176.4417829164
60CUg,0.0,0.0,0.0
62ZNg,226988.50660670115,9337487.512472048,3055.73027482336
62CUg,0.0,0.0,0.0
63ZNg,4635649.868826599,50115082674.9077,223863.9825315982
65ZNg,125.29680511445355,0.9627416019998732,0.981193967572097
56COg,2.1715947295980578,2.9097579630379284,1.7058012671580263
57COg,1.212811331262529,inf,inf
58COg,1441.8809231730204,5154.825055383829,71.79711035538845
60COg,3.415748567300765,inf,inf
59FEg,3238.298039652568,20114572.83259341,4484.927294014186
56NIg,29.54871626986122,3018.0209679990303,54.936517618056484
56COg,0.0,0.0,0.0
57NIg,87.74180359139737,4936.67404801939,70.26146915642592
57COg,0.0,0.0,0.0
