isotope,A0,cov A0,sigma_A0
177Wg,8557518.74793292,40828452091.644554,202060.51591452633
177TAg,0.0,0.0,0.0
178Wg,9680.08849631611,574065.7059387752,757.6712386904859
178TAg,0.0,0.0,0.0
179Wm1,1000000.0,inf,inf
179TAg,0.0,,
179Wg,0.0,,
181Wg,48428.35436502805,332280604.90342087,18228.565629347275
173TAg,17042.795689655144,1931783.0002371205,1389.8859666307594
173HFg,0.0,0.0,0.0
173LUg,0.0,0.0,0.0
175TAg,34960.64730993242,24160407.737548895,4915.323767316747
175HFg,0.0,0.0,0.0
176TAg,1698815.9725281498,1082687292.2776585,32904.21389849116
177TAg,284409.30508505687,573121595.1287237,23939.958127129707
178TAg,2018604291556.9565,7.413630738385203e+24,2722798328629.06
180TAg,259359.47384538548,4992208844.027113,70655.56484826311
172HFg,3341.087133710534,3744096.019579597,1934.9666714389673
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,2604.232562878039,48875.42991050473,221.0778820020328
173LUg,0.0,0.0,0.0
175HFg,253.30148983423126,247.90650148469913,15.745046887345211
180HFm1,12595.100231834287,73175571.98884752,8554.272148397404
176LUm1,19767713.48488324,157117194035948.75,12534639.764905442
179LUg,3216740.116781193,inf,inf
