isotope,A0,cov A0,sigma_A0
61CUg,121502.99274255703,54061646.944232866,7352.662575165058
62CUg,1000000.0,0.0,0.0
64CUg,80225032317.58104,inf,inf
55COg,158359.65693192382,2803931.3483966542,1674.4943560360705
55FEg,0.0,0.0,0.0
56COg,143.5474288062227,153442.88612442536,391.7178654649611
57COg,3679.076166801237,12818.086486495738,113.2169885065653
58COg,66.67429603100727,109.57426688081348,10.46777277556279
60COm1,1000000.0,inf,inf
60COg,0.0,,
62COm1,1949907793431.1594,inf,inf
62COg,0.0,,
61FEg,1000000.0,inf,inf
61COg,0.0,,
49CRg,1000000.0,inf,inf
49Vg,0.0,,
47Vg,1000000.0,0.0,0.0
56NIg,166.85529881062973,32327.064269498125,179.79728660215684
56COg,0.0,0.0,0.0
57NIg,53509.70341183498,410308430.5004804,20256.071447851886
57COg,0.0,0.0,0.0
