isotope,A0,cov A0,sigma_A0
177Wg,552130.4340135913,159384256.73256427,12624.747788869458
178Wg,64815.44355076588,1647734.022480915,1283.6409242778586
179Wg,6660496.213432379,857970494300.9227,926266.9670785646
179TAg,0.0,0.0,0.0
179Wm1,4184892.4908101647,18582020014256.27,4310686.721887392
179TAg,0.0,0.0,0.0
179Wg,0.0,0.0,0.0
173TAg,2205.9517821845643,22296506.198011346,4721.91763990133
173LUg,0.0,0.0,0.0
175TAg,9185.224602826103,1119237.0422853131,1057.9399993786571
176TAg,6214.838778190585,4283551.741421374,2069.6743080546207
177TAg,20609.278088718314,804218.7131315052,896.7824224032858
178TAg,180368241.9545635,1.183604062880829e+17,344035472.4270201
180TAg,497588.16686908284,20572248835.769825,143430.29260156245
172HFg,1293.6005898209755,1169526.937168496,1081.4466871596103
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,335.5404463874117,inf,inf
173LUg,0.0,,
175HFg,55.97622900050419,45.13918697459858,6.718570307334633
180HFm1,847.982327327054,1028002.9968426112,1013.9048263237587
176LUm1,323571.04755695997,13883491650.695711,117828.22943036915
179LUg,252487.39653544733,9763670873.734312,98811.28920186353
