isotope,A0,cov A0,sigma_A0
177Wg,10954907.36825967,23321339205.985313,152713.25812117726
177TAg,0.0,0.0,0.0
178Wg,27479.542292211878,3140463.826244308,1772.1353859805147
178TAg,0.0,0.0,0.0
181Wg,119258.63780152953,inf,inf
173TAg,1383.8780418401595,1019539.7227135102,1009.7225969114043
173HFg,0.0,0.0,0.0
173LUg,0.0,0.0,0.0
175TAg,16222.863047560973,21895404.38949659,4679.252546026619
175HFg,0.0,0.0,0.0
176TAg,8887.021219376587,7042964.721360068,2653.8584591797785
177TAg,334039.5531175827,540552516.373424,23249.78529736187
178TAg,19509912657.424305,1.2554069235820824e+21,35431721995.72133
180TAg,601889.6164323417,6161226631.227214,78493.481456916
172HFg,1217.0770994567056,360974.685037938,600.8116884997645
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,194.28973203118815,inf,inf
173LUg,0.0,,
175HFg,233.66963058229885,433.41065793857314,20.81851718875706
180HFm1,1701.5104294466237,5389470.954940067,2321.5234125332586
176LUm1,1017368.6908153028,208960763189.86868,457122.2628464607
179LUg,827186.9344551922,118261858721.16339,343892.2196287136
