isotope,A0,cov A0,sigma_A0
61CUg,50089.80478532071,99809236.98509446,9990.457296094832
62CUg,1000000.0,0.0,0.0
55COg,78909.0476433476,18415539.470217306,4291.333064470446
55FEg,0.0,0.0,0.0
56COg,11152.509242352045,84937.47373604597,291.44034335699985
57COg,3181.7325492862296,408.87111446227595,20.22056167524226
58COg,3817.6036200622348,83729.69103186268,289.36083188963687
60COm1,1000000.0,0.0,0.0
60COg,0.0,0.0,0.0
60COm1,1000000.0,0.0,0.0
60COg,0.0,0.0,0.0
62COg,1000000.0,0.0,0.0
62COm1,51977591057.89836,4.333170750531344e+20,20816269479.739506
62COg,0.0,0.0,0.0
59FEg,12.572055389783934,10.8829785976671,3.2989359796254156
61FEg,1000000.0,0.0,0.0
61COg,0.0,0.0,0.0
52MNg,792.7712642931235,inf,inf
52MNm1,17240096.6451414,inf,inf
52MNg,0.0,,
52MNm1,17240096.6451414,inf,inf
52MNg,0.0,,
54MNg,6.368955314670372,inf,inf
51CRg,130.7177601787129,inf,inf
56NIg,8455.670348420708,2554704.32893792,1598.344246067761
56COg,0.0,0.0,0.0
57NIg,326383.2350259108,3642166031.9133534,60350.36066100478
57COg,0.0,0.0,0.0
