isotope,A0,cov A0,sigma_A0
61CUg,49855.801350847694,66503040.92194107,8154.939663905618
62CUg,1000000.0,0.0,0.0
55COg,162764.020536297,36506136.57789091,6042.030832252589
55FEg,0.0,0.0,0.0
56COg,8690.26137348843,49874.13383669711,223.32517510727962
57COg,3321.8330236250454,3410.362656507214,58.39831039085989
58COg,3118.4681402841184,9720.65539269479,98.5933841223375
60COm1,1000000.0,0.0,0.0
60COg,0.0,0.0,0.0
60COm1,1000000.0,0.0,0.0
60COg,0.0,0.0,0.0
62COg,1000000.0,0.0,0.0
62COm1,6273562680.714377,1.3862620772978045e+19,3723254057.0014887
62COg,0.0,0.0,0.0
59FEg,13.502495392068269,inf,inf
61FEg,1000000.0,0.0,0.0
61COg,0.0,0.0,0.0
52MNg,5892.077397178499,903704.296311015,950.6336288555202
52MNm1,128140209.37261483,1.3703848374806926e+16,117063437.3953154
52MNg,0.0,0.0,0.0
54MNg,39.861554442939884,inf,inf
51CRg,84.67974042165399,inf,inf
47Vg,1000000.0,inf,inf
56NIg,7588.436762197045,2394549.722099378,1547.433269029517
56COg,0.0,0.0,0.0
57NIg,321177.80936436745,3599836875.475028,59998.64061355914
57COg,0.0,0.0,0.0
