isotope,A0,cov A0,sigma_A0
61CUg,51608.97925727071,75780876.0652117,8705.221195651016
62CUg,1000000.0,0.0,0.0
55COg,37547.393234799856,3646084.4078968656,1909.4722851868958
55FEg,0.0,0.0,0.0
56COg,12096.019115099276,98074.96965251285,313.1692348435792
57COg,3249.3691524929727,568.8058911795765,23.84965180415799
58COg,3994.199929074622,49970.91621287618,223.5417549650986
60COm1,1000000.0,inf,inf
60COg,0.0,,
60COm1,1000000.0,inf,inf
60COg,0.0,,
62COg,1000000.0,0.0,0.0
62COm1,38593078138.04034,2.3892248757363334e+20,15457117699.417099
62COg,0.0,0.0,0.0
59FEg,14.877602106468393,inf,inf
61FEg,1000000.0,0.0,0.0
61COg,0.0,0.0,0.0
52MNm1,1000000.0,inf,inf
52MNg,0.0,,
51CRg,224.97419228894694,inf,inf
47Vg,1000000.0,inf,inf
56NIg,8068.756627430812,2525569.383524726,1589.2040094099707
56COg,0.0,0.0,0.0
57NIg,345082.23152041144,3633696498.2051864,60280.15011763977
57COg,0.0,0.0,0.0
