isotope,A0,cov A0,sigma_A0
177Wg,2086.086220772367,629769.376547235,793.5801009017521
178Wg,49695.80439554839,5114345.385446766,2261.491849520304
179Wg,12931578.178308746,641697457801.4915,801060.2085995106
179TAg,0.0,0.0,0.0
179Wm1,62451259.15441735,24781780879393.414,4978130.25938388
179TAg,0.0,0.0,0.0
179Wg,0.0,0.0,0.0
173TAg,224.04409922178797,95390.18249539028,308.8530111483297
173LUg,0.0,0.0,0.0
174TAg,1841.0506037635173,inf,inf
175TAg,1071.482551407266,919732.7953882735,959.0270045146141
176TAg,3867.07705259951,2272251.01038903,1507.3987562649208
177TAg,2124.642429587994,inf,inf
178TAg,7236968.352110664,379976991665586.25,19492998.52935885
180TAg,456072.5434343603,1617960330.842627,40223.877620669875
172HFg,1248.5523733407351,378160.0128994267,614.9471626891425
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,32.98218385641159,782.9783468967738,27.981750247201724
173LUg,0.0,0.0,0.0
175HFg,34.2619089024125,528.551868270965,22.99025594183251
180HFm1,398.14117114617983,69796.60189540143,264.19046518639055
176LUm1,128867.44827240692,772901384.2222203,27801.104010852163
179LUg,118610.06967967973,1168311175.6102016,34180.56722189089
