isotope,A0,cov A0,sigma_A0
177Wg,11062720.022655362,127369023762.39445,356887.9708849746
177TAg,0.0,0.0,0.0
178Wg,17201.6502496215,2201755.567384101,1483.8313810484333
178TAg,0.0,0.0,0.0
181Wg,20925.902000601985,inf,inf
173TAg,1092.8368939253285,1430112.7936877555,1195.8732347902746
173HFg,0.0,0.0,0.0
173LUg,0.0,0.0,0.0
175TAg,10607.388802453119,9270080.537639575,3044.6806955146503
175HFg,0.0,0.0,0.0
176TAg,98392.28233558813,29543608.385020807,5435.4032403328465
177TAg,122817.1543581386,507377222.84713346,22525.035468276925
178TAg,356281424660.48627,4.406842441273818e+23,663840526126.1034
180TAg,343470.3548643279,8433787293.622586,91835.65371696652
172HFg,317.67039532838055,18725.64177317106,136.84166680207846
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,151.64072807348964,90348.14595707128,300.5796832074172
173LUg,0.0,0.0,0.0
175HFg,59.440699303010646,400.33160624943565,20.008288438780458
180HFm1,4210.001905932995,6362950.174740703,2522.4888849588024
176LUm1,4617249.69934519,7581452911972.755,2753443.8276407155
179LUg,1617772.9913486831,219522615048.77432,468532.4055481908
