isotope,A0,cov A0,sigma_A0
177Wg,39242.671041839036,28757351.33422807,5362.588119017539
177TAg,0.0,0.0,0.0
178Wg,24638.813977648755,775033.8815811736,880.3600863176235
178TAg,0.0,0.0,0.0
179Wg,28439239.683906972,13529101480863.541,3678192.6921877735
179TAg,0.0,0.0,0.0
179Wm1,42916842.47223998,659451090049036.8,25679779.78973022
179TAg,0.0,0.0,0.0
179Wg,0.0,0.0,0.0
173TAg,2384.5017570006976,55753279.925149314,7466.811898337155
173HFg,0.0,0.0,0.0
173LUg,0.0,0.0,0.0
175TAg,8767404.429787537,inf,inf
175HFg,0.0,,
176TAg,2756.064756971792,4432597.838064005,2105.373562592635
177TAg,909.5885269032582,inf,inf
178TAg,1000000.0,0.0,0.0
180TAg,675441.3994517501,2998432348.2033176,54757.94324299734
172HFg,1098.79009419057,746111.3432988378,863.7773690592026
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,357.1764472695303,inf,inf
173LUg,0.0,,
175HFg,21491.20070101459,inf,inf
180HFm1,806.4981495005328,115179.8789192836,339.38161252384253
176LUm1,31355.218850474044,766370177.6286563,27683.391729133484
179LUg,47120.64631466265,59126865.676271796,7689.399565393373
