isotope,A0,cov A0,sigma_A0
61CUg,342756.64078107773,374775493.7994149,19359.119138003538
62CUg,1000000.0,inf,inf
55COg,120800.78171036813,17510056.138708256,4184.501898518897
55FEg,0.0,0.0,0.0
56COg,75.75868705148396,35.535906652118,5.961200101667281
57COg,8416.982173948598,104600.17945289209,323.4195100065735
58COg,135.04881486829242,inf,inf
61FEg,1000000.0,inf,inf
61COg,0.0,,
49CRg,1000000.0,inf,inf
49Vg,0.0,,
47Vg,1000000.0,0.0,0.0
56NIg,310.0598692958921,1330.5999546504797,36.47738963591665
56COg,0.0,0.0,0.0
57NIg,481841.05517277116,11081277638.78175,105267.6476358323
57COg,0.0,0.0,0.0
