isotope,A0,cov A0,sigma_A0
178Wg,28583.488772587018,546646245.8194314,23380.467185653742
179Wg,40916716.900656134,61442030998660.69,7838496.730793519
179TAg,0.0,0.0,0.0
179Wm1,85181760.36356859,2248151396718466.5,47414674.90891893
179TAg,0.0,0.0,0.0
179Wg,0.0,0.0,0.0
181Wg,55869.786940543745,321098817.0356152,17919.230369511275
173TAg,1262.9111459297349,4183372.0386477965,2045.3293227858921
173LUg,0.0,0.0,0.0
175TAg,65.63749129427792,5385.6507860731335,73.3869933031265
176TAg,1091.0083897531945,227521.05694358094,476.9916738723863
178TAg,173358057691.50742,1.4191287030010977e+22,119127188458.43285
180TAg,320474.37431256805,231165778.99671426,15204.136904037476
172HFg,788.7411579831872,1536006.3422363107,1239.3572294686915
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,70.8247776956316,inf,inf
173LUg,0.0,,
180HFm1,20.542505884815608,85.02968113360514,9.22115400227136
176LUm1,7430.788248675878,inf,inf
