isotope,A0,cov A0,sigma_A0
177Wg,1000000.0,inf,inf
178Wg,1470.9056086928365,318143.99301899056,564.042545397943
179Wm1,1000000.0,inf,inf
179TAg,0.0,,
179Wg,0.0,,
181Wg,1249.4413910207554,inf,inf
173TAg,267.03753211187745,inf,inf
173LUg,0.0,,
176TAg,1014.8738845450417,428018.01922173164,654.2308607989473
178TAg,697180076586.1593,6.012327158371388e+23,775391975607.9108
180TAg,19218.023623762176,10546875.53857768,3247.595347111102
172HFg,204.191880061566,inf,inf
172LUm1,0.0,,
172LUg,0.0,,
173HFg,31.588091034714193,inf,inf
173LUg,0.0,,
