isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,inf,inf
59NIg,0.0,,
60CUg,26571.321405263392,1113740343.3252854,33372.74851319989
61CUg,81910.51005335119,9821395.704351224,3133.910608864143
62CUg,220758012.27660927,3.766351673060006e+16,194070906.45070955
64CUg,909958.7934290953,570054393.4328177,23875.811890547673
60ZNg,238025.4571905997,164471941064.07196,405551.4037259296
60CUg,0.0,0.0,0.0
62ZNg,746125.9487661214,222646973.3628475,14921.359635195699
62CUg,0.0,0.0,0.0
63ZNg,2739832.356169688,9192170355.75035,95875.8069366321
65ZNg,243.2192355056978,6.67144899268746,2.582914824899857
56COg,6.683745528760582,16.892383986157597,4.110034548049152
59FEg,1054.027954570948,inf,inf
56NIg,79.74156259253851,8029.450351076891,89.60720033053644
56COg,0.0,0.0,0.0
57NIg,51.49556788421474,inf,inf
57COg,0.0,,
