isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,inf,inf
59NIg,0.0,,
60CUg,57467.69552425254,195947158.66213658,13998.112682148854
61CUg,2280433.900842767,2528402530.4673343,50283.22315113993
62CUg,62096073.663301535,1541745240377578.5,39265063.865701005
64CUg,792635.1695704075,298859472.4890248,17287.552530333054
60ZNg,515106.8176191318,23614418861.81773,153669.83718940333
60CUg,0.0,0.0,0.0
62ZNg,454175.71571370313,409709322.8219003,20241.277697366346
62CUg,0.0,0.0,0.0
63ZNg,4405138.585567187,24963099.00624821,4996.308537935603
65ZNg,158.4879942362992,29.996558310554477,5.476911384215969
56COg,3.935344284097863,8.093968796969296,2.8449901224730634
58COg,361.895672743745,143.902536184151,11.995938320287872
54MNg,3.0997611915111407,inf,inf
57NIg,62.9007602241096,inf,inf
57COg,0.0,,
