isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,inf,inf
59NIg,0.0,,
60CUg,1000000.0,inf,inf
61CUg,648471.5392146872,156428460.29856223,12507.136374828662
62CUg,153767485.1430307,2.4977846031484548e+16,158043810.48141223
64CUg,898227.9210483871,234298047.46117327,15306.797426672023
60ZNg,1000000.0,inf,inf
60CUg,0.0,,
62ZNg,680159.9829680267,145737703.76468438,12072.187198875123
62CUg,0.0,0.0,0.0
63ZNg,2607199.5174465394,4122112576.633864,64203.680397885786
65ZNg,179.0538067978467,71.6882789040981,8.466893108106309
56COg,3.6009620450685484,21.386857190182326,4.6245926512701985
58COg,15.42236732671706,inf,inf
56NIg,141.8405112946106,64051.030142461226,253.08304989165362
56COg,0.0,0.0,0.0
57NIg,30.04008222425871,inf,inf
57COg,0.0,,
