isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,0.0,0.0
59NIg,0.0,0.0,0.0
60CUg,63959.9405864798,254027773.63518623,15938.248763122823
61CUg,4416929.284811506,4254198693.339636,65224.21861041829
62CUg,1000000.0,0.0,0.0
64CUg,497185.691258409,66817043.36889391,8174.169276990409
60ZNg,572952.0727836492,inf,inf
60CUg,0.0,,
61ZNg,590396214.5554283,77390800732110.25,8797204.142914398
61CUg,0.0,0.0,0.0
62ZNg,147603.409265894,2998085.522077435,1731.4980571971298
62CUg,0.0,0.0,0.0
63ZNg,4861310.013100003,51734065792.38077,227451.23827401066
65ZNg,114.15344796207398,74.81286636073189,8.649443124313374
56COg,17.97110983310366,11.164093892802171,3.34127129889241
58COg,2268.745542940563,35654.26518647131,188.82337033977365
60COg,10.701085346108515,0.3428071612267905,0.58549736227142
62COg,1000000.0,inf,inf
59FEg,1954.8649531997035,3764873.3883868465,1940.3281651274474
56NIg,1083.7834301468001,157381.93997544874,396.7139271256414
56COg,0.0,0.0,0.0
57NIg,38.83975154934608,904.596104970409,30.076504201293226
57COg,0.0,0.0,0.0
