isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,inf,inf
59NIg,0.0,,
60CUg,3837362.7474179273,35103288326.803185,187358.71564142188
61CUg,2129477.57850135,1181484183.7569942,34372.72441569033
64CUg,360722.04604475293,183897840.86588523,13560.893807779974
60ZNg,34375033.955137014,2934250154820.199,1712965.3104544175
60CUg,0.0,0.0,0.0
62ZNg,100438.2721553393,18424797.532558504,4292.41162198577
62CUg,0.0,0.0,0.0
63ZNg,1513880.6398934477,1349129358.3167908,36730.49629826407
65ZNg,65.31117866216243,0.23089889416675533,0.4805194004062222
55COg,366.135185989081,inf,inf
55FEg,0.0,,
56COg,51.32167400639554,7.902014290364347,2.81105216784825
57COg,770.5291677940518,132.24406600878623,11.499741997487867
58COg,1598.231569899291,4182.755696707139,64.67422745350066
60COg,25.867455536220696,inf,inf
60COm1,6867992.649952186,inf,inf
60COg,0.0,,
62COg,1000000.0,inf,inf
62COm1,28769372547859.68,inf,inf
62COg,0.0,,
59FEg,34.64648111434208,35.873050070070896,5.9894114961380716
61FEg,1000000.0,inf,inf
61COg,0.0,,
54MNg,38.56985757211753,0.4656737727026331,0.6824029401333446
56MNg,5161.225726211429,3210746.042525713,1791.8554747874375
56NIg,667.533735975309,6515.003926197289,80.71557424807983
56COg,0.0,0.0,0.0
57NIg,6117.7069235499885,4443013.998366956,2107.845819401162
57COg,0.0,0.0,0.0
