isotope,A0,cov A0,sigma_A0
177Wg,560.6808552915472,422976.567065894,650.3664867333603
177TAg,0.0,0.0,0.0
178Wg,63570.113642826414,inf,inf
178TAg,0.0,,
179Wg,14649999.751677271,2425504589630.4937,1557403.155779034
179TAg,0.0,0.0,0.0
179Wm1,70451269.0547156,325952766937310.5,18054162.03918948
179TAg,0.0,0.0,0.0
179Wg,0.0,0.0,0.0
181Wg,1344.95255139054,108900.48449227722,330.0007340783914
173TAg,464.27342898383216,244359.95228360555,494.32777818326736
173HFg,0.0,0.0,0.0
173LUg,0.0,0.0,0.0
175TAg,242.80206104994522,inf,inf
175HFg,0.0,,
176TAg,83.501972876382,6435.023053638613,80.2185954354638
177TAg,19.046494489141978,479.32425370870703,21.893475140066435
178TAg,13525859.963744672,228523792167662.8,15117003.41230572
180TAg,236893.41489217425,880363575.1622494,29670.921373665657
172HFg,2148.97117835533,2114622.904939956,1454.1743034932078
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,48.40266829730685,inf,inf
173LUg,0.0,,
175HFg,11546.7145907942,inf,inf
