isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,inf,inf
59NIg,0.0,,
61CUg,129395.92266795046,11707385.429726498,3421.605680046504
64CUg,46712.85527322258,288311.2547634336,536.9462307935811
55COg,4936.665457492055,9314.145788166672,96.5098222367375
55FEg,0.0,0.0,0.0
56COg,1.796224578144859,0.19888942150347816,0.445970202483841
57COg,36.59448912350282,0.43014961735499746,0.6558579246719501
58COg,15.283795897310414,inf,inf
56NIg,44.30991980993363,350.94898921197233,18.733632568510902
56COg,0.0,0.0,0.0
