isotope,A0,cov A0,sigma_A0
61CUg,55003.8872720307,36288929.864454485,6024.02937114806
62CUg,1000000.0,0.0,0.0
55COg,24779.78984475407,3114207.5320030623,1764.7117419009435
55FEg,0.0,0.0,0.0
56COg,11159.31923056353,66685.01972542694,258.23442784692156
57COg,3385.676974644104,37640.552589582556,194.0117331234958
58COg,3520.574965092483,132096.40590444842,363.4506925353815
62COg,1000000.0,0.0,0.0
62COm1,1000000.0,0.0,0.0
62COg,0.0,0.0,0.0
59FEg,8.810757558421129,0.41883285314573493,0.6471729700363998
61FEg,1000000.0,0.0,0.0
61COg,0.0,0.0,0.0
51MNg,258416.96669628588,inf,inf
51CRg,0.0,,
52MNm1,1000000.0,inf,inf
52MNg,0.0,,
51CRg,299.64595898847904,inf,inf
56NIg,6607.542599588432,1843765.6834958645,1357.8533365190308
56COg,0.0,0.0,0.0
57NIg,378810.83144076023,3940337446.7934785,62772.10723556665
57COg,0.0,0.0,0.0
