isotope,A0,cov A0,sigma_A0
177Wg,378706.14032628055,inf,inf
177TAg,0.0,,
178Wg,3537.315860875624,58445.66881930254,241.75539046586437
178TAg,0.0,0.0,0.0
179Wg,43952694.439330205,40413950077521.664,6357196.715339369
179TAg,0.0,0.0,0.0
179Wm1,212730204.9869013,1737316843443267.5,41681132.943374604
179TAg,0.0,0.0,0.0
179Wg,0.0,0.0,0.0
181Wg,45278.63293481316,inf,inf
173TAg,1232.1642400458315,1649982.9561875171,1284.5166235543693
173HFg,0.0,0.0,0.0
173LUg,0.0,0.0,0.0
175TAg,449.5789464219315,88591.9223474875,297.6439523112934
175HFg,0.0,0.0,0.0
176TAg,901.8642250670937,218273.71653666592,467.1977274523774
177TAg,8625.882993806605,inf,inf
178TAg,63124605.70578756,7949075960791913.0,89157590.59548387
180TAg,458538.5589916908,2459173056.1462045,49590.04997120092
172HFg,407.51976159799125,639178.460358709,799.4863728411567
172LUm1,0.0,0.0,0.0
172LUg,0.0,0.0,0.0
173HFg,74.32839442175766,inf,inf
173LUg,0.0,,
175HFg,17677.34306597193,inf,inf
180HFm1,92.89512240777249,4284.498521189597,65.45608085724044
176LUm1,21061.77608617423,15055327.691640548,3880.1195460501663
